watershed	n.data	n.stock	year	exp_spawn	total_rec
alastair_lake	1	1	1954	NA	NA
alastair_lake	2	1	1955	41464	21864
alastair_lake	3	1	1956	50429	36336
alastair_lake	4	1	1957	95255	28978
alastair_lake	5	1	1958	95255	17807
alastair_lake	6	1	1959	50429	13053
alastair_lake	7	1	1960	7845	24873
alastair_lake	8	1	1961	29697	34089
alastair_lake	9	1	1962	22290	45921
alastair_lake	10	1	1963	20172	34224
alastair_lake	11	1	1964	4258	9357
alastair_lake	12	1	1965	17706	5998
alastair_lake	13	1	1966	18827	7196
alastair_lake	14	1	1967	28016	12819
alastair_lake	15	1	1968	33619	10612
alastair_lake	16	1	1969	6724	4666
alastair_lake	17	1	1970	5043	4897
alastair_lake	18	1	1971	2577	14403
alastair_lake	19	1	1972	8965	24931
alastair_lake	20	1	1973	8965	29079
alastair_lake	21	1	1974	3922	36455
alastair_lake	22	1	1975	1345	31164
alastair_lake	23	1	1976	6724	9227
alastair_lake	24	1	1977	15689	17145
alastair_lake	25	1	1978	20172	15684
alastair_lake	26	1	1979	20172	12723
alastair_lake	27	1	1980	33619	20453
alastair_lake	28	1	1981	2017	24865
alastair_lake	29	1	1982	10646	18192
alastair_lake	30	1	1983	14568	24310
alastair_lake	31	1	1984	8965	21338
alastair_lake	32	1	1985	8965	25300
alastair_lake	33	1	1986	23534	35583
alastair_lake	34	1	1987	11206	31333
alastair_lake	35	1	1988	14568	26035
alastair_lake	36	1	1989	16734	25660
alastair_lake	37	1	1990	11206	38924
alastair_lake	38	1	1991	24654	52521
alastair_lake	39	1	1992	17930	40283
alastair_lake	40	1	1993	16810	11682
alastair_lake	41	1	1994	14568	6465
alastair_lake	42	1	1995	19051	12724
alastair_lake	43	1	1996	28016	12098
alastair_lake	44	1	1997	26895	18394
alastair_lake	45	1	1998	NA	NA
alastair_lake	46	1	1999	NA	NA
alastair_lake	47	1	2000	NA	NA
alastair_lake	48	1	2001	NA	NA
alastair_lake	49	1	2002	4483	18703
alastair_lake	50	1	2003	30257	11311
alastair_lake	51	1	2004	NA	NA
alastair_lake	52	1	2005	14733	35516
alastair_lake	53	1	2006	5379	33700
alastair_lake	54	1	2007	24654	34646
alastair_lake	55	1	2008	1254	16218
alastair_lake	56	1	2009	NA	NA
alastair_lake	57	1	2010	NA	NA
alastair_lake	58	1	2011	NA	NA
alastair_lake	59	1	2012	NA	NA
alastair_lake	60	1	2013	NA	NA
alastair_lake	61	1	2014	NA	NA
atnarko_lakes	1	2	1954	NA	NA
atnarko_lakes	2	2	1955	NA	NA
atnarko_lakes	3	2	1956	NA	NA
atnarko_lakes	4	2	1957	NA	NA
