pop,Smsy_med,lat,long,esc_2gen,s_smsy,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Banks,4343.8302,53.378412,-130.186236,NA,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bonilla,4656.617856,53.510667,-130.295947,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borrowman,1521.384044,52.736783,-129.261531,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bowser,9820.004027,56.390761,-129.4096742,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curtis Inlet,8837.8321,53.500884,-129.862189,1601,0.181153023,650,2552,NA,NA,NA,NA,NA,NA,NA,NA
Fairfax,1320.965386,52.717222,-131.981531,127,0.096141808,NA,NA,NA,NA,NA,NA,127,,NA,NA
Freeda Lakes,573.7257039,53.669748,-129.712329,300,0.52289796,NA,NA,NA,NA,NA,NA,300,NA,NA,NA
Hauyat,2261.366869,52.043383,-128.068859,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johanson,1255.159584,56.644808,-126.495502,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Johnston,2921.951544,53.863271,-129.481574,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kdelmashan,1099.606848,52.530022,-129.046866,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keswar,672.3218459,53.648513,-130.341245,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kimsquit,15034.37406,53.115286,-127.38755,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kisameet,1881.538354,51.966474,-127.877603,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kwakwa,4583.797362,52.557456,-128.707873,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long,83413.29063,51.25985,-127.01535,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mcloughlin,330.5596917,52.13684,-128.148001,#DIV/0!,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
