watershed	region	n.stock	water_clarity	SR_pairs	lake_area_Hec	lat.outlet	long.outlet	PR_mean	PR_total	SmaxPR
alastair	coast.fjord	1	clear	51	686	54.144171	-129.192889	209	262.4	49064
atnarko	interior	2	clear	36	724	52.091207	-125.716587	66.21	87.7	16404
azuklotz	interior	3	clear	19	218	56.091553	-126.745646	278.26	111	20758
babine	interior	4	clear	46	46100	55.414379	-126.683558	140	11811	2208623
banks	low.coastal	5	stained	27	364	53.384017	-130.177286	50.64	34	6307
bear	interior	6	clear	13	1975	56.199816	-126.866777	158.4	572.5	107057
bloomfield	low.coastal	7	stained	37	147	52.850711	-128.676227	12.8	3.5	644
bonilla	low.coastal	8	stained	37	220	53.512298	-130.291872	115.64	47	8706
canoona	low.coastal	9	stained	31	345	53.072924	-128.589191	72.56	46	8566
curtis_inlet	low.coastal	10	stained	34	300	53.500577	-129.857771	103	57	10574
devon	low.coastal	11	stained	45	174	53.454016	-129.768575	103	32.8	6133
evelyn	low.coastal	12	stained	39	59	53.6	-128.938802	63.58	6.9	1284
fred_wright	interior	13	clear	19	397	NA	NA	152.5	108	20196
hartley_bay	low.coastal	14	stained	29	93	53.427376	-129.271756	51.39	8.75	1635
johanson	interior	15	clear	7	140	56.603269	-126.210394	66.35	17	3179
johnston	coast.fjord	16	clear	11	186	53.863271	-129.481574	211.7	72	13474
keecha	low.coastal	17	stained	19	332	53.302105	-129.84241	56.85	34.5	6459
kitkiata	coast.fjord	18	stained	27	270	53.694896	-129.29352	289	142.8	26702
kitlope	coast.fjord	19	glacial	47	1170	53.161338	-127.770462	54	115.6	21620
kitsumkalum	coast.fjord	20	glacial	49	1969	54.721014	-128.778615	33	118.9	22235
kitwancool	interior	21	clear	12	777	55.330576	-128.102837	247.5	351.9	65810
koeye	low.coastal	22	stained	26	450	51.782981	-127.749474	90.3	74.4	13905
kooryet	low.coastal	23	stained	24	509	53.343264	-129.904745	55.35	51.5	9641
lakelse	coast.fjord	24	clear	44	1460	54.386177	-128.625332	91	243.14	45466
long	coast.fjord	25	stained	56	2100	51.230918	-127.334623	70	269	50305
lowe	coast.fjord	26	stained	35	2130	53.559624	-129.559622	89.93	350.5	65550
mcdonell	interior	27	clear	36	223	54.781347	-127.635682	59.84	24.5	4566
meziadin	interior	28	clear	31	3321	56.040817	-129.209905	144.67	936	175032
mikado	low.coastal	29	stained	40	267	53.430787	-129.772284	18.97	9.3	1733
morice	interior	30	clear	42	9754	54.112311	-127.430449	83	1481.5	277047
morrison	interior	31	stained	41	1460	55.172158	-126.312417	108	288.6	53960
motase	interior	32	glacial	15	1403	56.048477	-127.035031	14.21	36.5	6822
namu	low.coastal	33	stained	27	317	51.856633	-127.860696	42.9	24.9	4654
owikeno	coast.fjord	34	glacial	57	9450	51.677866	-127.180673	95.5	1651.5	308836
price	low.coastal	35	stained	31	93	52.460302	-128.729979	46.1	7.8	1467
slamgeesh	interior	36	clear	13	76	56.403836	-127.93021	68.82	9.6	1789
stephens	interior	37	clear	41	187	55.764677	-128.561469	148.85	50.9	9525
sustut	low.coastal	38	stained	7	250	56.587568	-126.472116	75.69	34.6	6575
swan	interior	39	clear	21	1777	55.778935	-128.622182	95.12	309.3	57843
