Lake,Clarity,Lat,Long,Int. (?),Model1,Model2,Model3,Model4,PRmean,95% CI
Ain,stained,53.76,-132.44,-0.23,56.36,50.07,50.04,38.59,48.77,(34.7 - 68.6)
Asitka,clear,56.54,-126.37,-0.36,73.59,71.07,92.12,60.28,74.26,(47.1 - 117.2)
Awun,stained,53.64,-132.53,NA,77.5,94.05,83.34,108.44,90.83,(59.6 - 139)
Backlund,stained,53.65,-129.41,NA,64.87,116.55,65.36,146.49,98.32,(60.1 - 164.9)
Bolton,stained,53.41,-129.95,NA,41.53,48.73,45.33,25.39,40.25,(27.7 - 58.7)
Borrowman,stained,52.75,-129.21,NA,42.25,64.44,44,74.04,56.18,(39.5 - 80.3)
Busey,stained,52.79,-128.79,NA,53.33,50.1,53.6,49.63,51.67,(40.3 - 66.3)
Chic Chic,stained,51.49,-128.01,NA,32.64,42.27,34.32,38.69,36.98,(23 - 59.9)
Clements,clear,56.05,-129.9,NA,92.18,165.4,105.16,102.67,116.35,(73.8 - 183.7)
Dallain,stained,52.68,-128.9,NA,43.53,51.89,43.75,35.55,43.68,(32.2 - 59.3)
Damshilgwit,clear,56.42,-127.96,-0.08,95.07,116.06,96.73,121.5,107.34,(70.6 - 163.3)
Dome,stained,53.15,-128.46,NA,53.84,50.11,57.18,52.58,53.43,(41.4 - 68.9)
Douglas Creek,stained,52.99,-129.12,NA,37.81,47.08,43.04,24.7,38.16,(26.8 - 54.5)
East Kwakwa,stained,52.55,-128.6,NA,35.94,44.56,40.68,29.87,37.76,(26.3 - 54.3)
Eden,stained,53.87,-132.72,NA,85.24,125.52*,89.93,149.49*,87.58,(58.5 - 131.1)
Elsie,stained,51.54,-127.74,-0.4,29.22,25.69,30.24,25.91,27.76,(17.8 - 43.7)
Evinrude,stained,52.81,-129.07,NA,48.93,53.17,43.13,38.62,45.96,(31.9 - 66.2)
Fairfax,stained,52.71,-131.98,NA,49.05,51.5,55.37,54.89,52.7,(40.4 - 68.8)
Footsore,clear,55.73,-128.47,-0.08,96.41,101.86,116.03,75.19,97.38,(67.4 - 140.8)
Freeda Brodie,stained,53.67,-129.71,NA,71.84,56.85,75.54,69.24,68.37,(50.5 - 92.5)
Hauyat,stained,52.04,-128.08,NA,52.52,59.95,47.37,67.73,56.89,(40.3 - 80.5)
Hodder,clear,55.73,-128.46,-0.08,97.39,125.63,116.32,92.41,107.94,(76.1 - 153.2)
Jalun,stained,53.96,-132.85,NA,67.02,98.76,78.44,83.49,81.93,(50.3 - 134.8)
Kainet,clear,52.77,-127.87,NA,95.75,123.92,111.41,100.47,107.89,(59.4 - 198.5)
Kdelmashan,stained,52.57,-129.05,NA,32.3,42.38,36.56,21.21,33.11,(21.9 - 50.4)
Kent,stained,52.75,-128.98,NA,48.22,51.68,48.58,39.64,47.03,(35.9 - 61.6)
Kenzuwash,stained,53.26,-130.02,NA,52.44,52.25,54.41,39.33,49.61,(38 - 64.8)
Keswar,stained,53.66,-130.32,NA,46.2,52.38,49.52,34.66,45.69,(31.5 - 66.4)
Kildit,stained,51.87,-128.1,NA,41.71,49.43,40.24,45.26,44.16,(30.1 - 65.1)
Kilpatrick,stained,53.79,-130.12,NA,45.09,62.48,60.93,36.02,51.13,(32.5 - 80.9)
Kimsquit,clear,53.12,-127.38,NA,125.85,564.38*,117.76,614.99*,121.8,(67.7 - 219.0)
Kisameet,stained,51.96,-127.87,NA,53.39,47.5,49.31,57.25,51.86,(36 - 74.8)
Leverson,stained,54.34,-129.96,NA,70.89,78.07,77.71,85.26,77.98,(50.9 - 119.6)
