"","Model","Metric","Estimate","SE","Weight"
"1","m4b","elpd",25954.8550676711,15980.6609900711,0.6099
"2","m4b","IC",-51909.7101353421,31961.3219801422,0.6099
"3","m2b","elpd",25915.218840717,15980.6778648537,0.3246
"4","m2b","IC",-51830.4376814339,31961.3557297074,0.3246
"5","m1","elpd",25781.4759742961,15980.7169564581,0.0654
"6","m1","IC",-51562.9519485921,31961.4339129162,0.0654
"7","m4a","elpd",25943.7666375685,15980.6660745794,1e-04
"8","m4a","IC",-51887.5332751369,31961.3321491588,1e-04
"9","m2a","elpd",25919.9987963179,15980.6741436114,0
"10","m2a","IC",-51839.9975926359,31961.3482872227,0
"11","m3","elpd",25795.4459523877,15980.7135330049,0
"12","m3","IC",-51590.8919047754,31961.4270660097,0
