"","Model","Metric","Estimate","SE"
"1","m3","elpd_loo",-4851.40507694391,1522.14212822447
"2","m1","elpd_loo",-4508.69755667202,1010.09743093668
"3","m2a","elpd_loo",-2347.65632122248,268.905921589795
"4","m2b","elpd_loo",-2292.46663080373,260.918770607595
"5","m4b","elpd_loo",-2284.7474547463,290.499030292035
"6","m4a","elpd_loo",-2217.80925935881,301.457263767108
"7","m4a","looic",4435.61851871763,602.914527534216
"8","m4b","looic",4569.4949094926,580.99806058407
"9","m2b","looic",4584.93326160746,521.837541215189
"10","m2a","looic",4695.31264244496,537.81184317959
"11","m1","looic",9017.39511334405,2020.19486187337
"12","m3","looic",9702.81015388783,3044.28425644894
"13","m4a","p_loo",1009.79880341489,294.657631363898
"14","m2b","p_loo",1078.23986361193,250.449332550672
"15","m4b","p_loo",1078.86061587319,283.707499002162
"16","m2a","p_loo",1136.5682773221,260.27639434387
"17","m1","p_loo",3277.18996896544,1003.9342646366
"18","m3","p_loo",3614.58539339463,1515.88821427833
