"","Model","Metric","Estimate","SE","Weight"
"1","m3","elpd_loo",-13585.1375451312,5051.04654174047,NA
"2","m1","elpd_loo",-10777.3199589319,2839.0879181172,NA
"3","m4b","elpd_loo",-5607.43527144211,1331.33119551151,NA
"4","m4a","elpd_loo",-5215.74826263268,1028.3318886024,NA
"5","m2a","elpd_loo",-4402.62111969008,555.297683306012,NA
"6","m2b","elpd_loo",-4270.64858633304,535.268553258263,NA
"7","m2b","looic",8541.29717266608,1070.53710651653,0.5353
"8","m2a","looic",8805.24223938017,1110.59536661202,0.04
"9","m4a","looic",10431.4965252654,2056.66377720481,0.2002
"10","m4b","looic",11214.8705428842,2662.66239102302,0.1882
"11","m1","looic",21554.6399178637,5678.17583623439,0
"12","m3","looic",27170.2750902623,10102.0930834809,0.0362
"13","m2b","p_loo",3198.36239604201,532.61581307771,NA
"14","m2a","p_loo",3330.41712022521,552.640754389527,NA
"15","m4a","p_loo",4147.71325297451,1027.15794912147,NA
"16","m4b","p_loo",4540.47692299016,1330.45196378028,NA
"17","m1","p_loo",9670.66214556402,2837.22540850084,NA
"18","m3","p_loo",12481.226603526,5049.97221756394,NA
