"Pop","Model","Metric","Estimate","SE"
"alastair","m1","elpd_loo",-66.9241957632471,18.2940178341412
"alastair","m1","p_loo",37.992955650877,17.9005375106561
"alastair","m1","looic",133.848391526494,36.5880356682824
"alastair","m2a","elpd_loo",-67.943502368508,20.1024000711714
"alastair","m2a","p_loo",39.9400876766587,19.7286280584214
"alastair","m2a","looic",135.887004737016,40.2048001423428
"alastair","m2b","elpd_loo",-63.6023121877644,17.3684787981588
"alastair","m2b","p_loo",35.634415640321,16.948567971841
"alastair","m2b","looic",127.204624375529,34.7369575963175
"alastair","m3","elpd_loo",-65.9078936303016,17.4460555292125
"alastair","m3","p_loo",36.8547766188668,17.0747356386376
"alastair","m3","looic",131.815787260603,34.8921110584249
"alastair","m4a","elpd_loo",-61.4409379509987,15.5263453589042
"alastair","m4a","p_loo",33.311234665393,15.0897139021181
"alastair","m4a","looic",122.881875901997,31.0526907178085
"alastair","m4b","elpd_loo",-67.3148943042563,19.3511474723679
"alastair","m4b","p_loo",39.155914196905,18.9949115861932
"alastair","m4b","looic",134.629788608513,38.7022949447358
"asitika","m1","elpd_loo",-2834.25761162405,2143.406643869
"asitika","m1","p_loo",2831.10714115966,2143.45491588349
"asitika","m1","looic",5668.5152232481,4286.813287738
"asitika","m2a","elpd_loo",-56.3330819755859,34.7918326953701
"asitika","m2a","p_loo",54.180209234844,34.8054214827711
"asitika","m2a","looic",112.666163951172,69.5836653907402
"asitika","m2b","elpd_loo",-62.5553287348033,41.1037738389516
"asitika","m2b","p_loo",60.4504291757736,41.0763415391527
"asitika","m2b","looic",125.110657469607,82.2075476779032
"asitika","m3","elpd_loo",-5648.98436788116,3634.77910597318
"asitika","m3","p_loo",5646.07622526277,3635.0526617292
"asitika","m3","looic",11297.9687357623,7269.55821194636
"asitika","m4a","elpd_loo",-854.378266527399,793.660228313959
"asitika","m4a","p_loo",852.230696019505,793.691036419241
"asitika","m4a","looic",1708.7565330548,1587.32045662792
"asitika","m4b","elpd_loo",-1205.11910950956,1165.32893232869
"asitika","m4b","p_loo",1203.01754805522,1165.36244549021
"asitika","m4b","looic",2410.23821901912,2330.65786465738
"atnarko","m1","elpd_loo",-33.0662316416629,4.74743000988074
"atnarko","m1","p_loo",8.12715255366189,4.17730904795404
"atnarko","m1","looic",66.1324632833257,9.49486001976148
"atnarko","m2a","elpd_loo",-36.6566026776738,7.61028543560553
"atnarko","m2a","p_loo",13.6761393173749,6.86670002595001
"atnarko","m2a","looic",73.3132053553476,15.2205708712111
"atnarko","m2b","elpd_loo",-39.0592547307489,8.31267952615294
"atnarko","m2b","p_loo",15.5263581303208,7.36355377992117
"atnarko","m2b","looic",78.1185094614979,16.6253590523059
"atnarko","m3","elpd_loo",-35.8271743377186,5.67115845661279
"atnarko","m3","p_loo",10.3344909285666,5.05963449814361
"atnarko","m3","looic",71.6543486754373,11.3423169132256
"atnarko","m4a","elpd_loo",-37.2851193325781,7.50226021480065
"atnarko","m4a","p_loo",13.9206993598405,6.74720833611975
"atnarko","m4a","looic",74.5702386651561,15.0045204296013
"atnarko","m4b","elpd_loo",-38.3811317654914,7.85513341738526
"atnarko","m4b","p_loo",14.7914497486532,6.99358615239977
"atnarko","m4b","looic",76.7622635309828,15.7102668347705
"awun","m1","elpd_loo",-55.9943690230776,10.6660272078983
"awun","m1","p_loo",29.6240309842278,10.4236287584751
"awun","m1","looic",111.988738046155,21.3320544157967
"awun","m2a","elpd_loo",-49.1091734857023,7.61920089145834
"awun","m2a","p_loo",23.8802040039542,7.22250133798345
"awun","m2a","looic",98.2183469714047,15.2384017829167
"awun","m2b","elpd_loo",-52.5540444116471,9.6623479488447
"awun","m2b","p_loo",27.3086957220353,9.44868415618634
"awun","m2b","looic",105.108088823294,19.3246958976894
"awun","m3","elpd_loo",-50.2034180211364,7.67841542875062
"awun","m3","p_loo",23.850007537664,7.25628963499182
"awun","m3","looic",100.406836042273,15.3568308575012
"awun","m4a","elpd_loo",-48.6995357612134,7.26745234169721
"awun","m4a","p_loo",23.3162489718148,6.78172890514484
"awun","m4a","looic",97.3990715224267,14.5349046833944
"awun","m4b","elpd_loo",-47.1746889405387,6.5302857405751
"awun","m4b","p_loo",21.8179746710001,5.96818138671833
"awun","m4b","looic",94.3493778810773,13.0605714811502
"azuklotz","m1","elpd_loo",-57.9404140376086,23.4408091522978
"azuklotz","m1","p_loo",45.3802713545983,22.9990020971556
"azuklotz","m1","looic",115.880828075217,46.8816183045956
"azuklotz","m2a","elpd_loo",-38.846818469941,14.2557993884103
"azuklotz","m2a","p_loo",27.134565676925,13.8864197386795
"azuklotz","m2a","looic",77.6936369398821,28.5115987768207
"azuklotz","m2b","elpd_loo",-39.421085150144,14.7650476903222
"azuklotz","m2b","p_loo",27.5760001259681,14.3867660279355
"azuklotz","m2b","looic",78.8421703002879,29.5300953806444
"azuklotz","m3","elpd_loo",-47.9444910554548,17.9810059512293
"azuklotz","m3","p_loo",35.5045133916291,17.528830036035
"azuklotz","m3","looic",95.8889821109095,35.9620119024587
"azuklotz","m4a","elpd_loo",-36.7735604759398,12.2748987800788
"azuklotz","m4a","p_loo",25.0761823278634,11.8396476224111
"azuklotz","m4a","looic",73.5471209518796,24.5497975601576
"azuklotz","m4b","elpd_loo",-44.7282629909719,18.6018861264545
"azuklotz","m4b","p_loo",32.9142020206643,18.249854579986
"azuklotz","m4b","looic",89.4565259819437,37.2037722529089
"babine","m1","elpd_loo",-38.7941609702414,9.36933434541359
"babine","m1","p_loo",13.0902394905616,8.76105826325017
"babine","m1","looic",77.5883219404827,18.7386686908272
"babine","m2a","elpd_loo",-37.373020072067,8.86898476500643
"babine","m2a","p_loo",12.7952233265998,8.23194008636306
"babine","m2a","looic",74.7460401441339,17.7379695300129
"babine","m2b","elpd_loo",-37.5635838125016,9.14310871826881
"babine","m2b","p_loo",13.2973244301438,8.50687012410783
"babine","m2b","looic",75.1271676250033,18.2862174365376
"babine","m3","elpd_loo",-38.9706459662081,9.83501124627559
"babine","m3","p_loo",13.4378336091414,9.24420119395205
"babine","m3","looic",77.9412919324162,19.6700224925512
"babine","m4a","elpd_loo",-37.2305849604686,8.9067581461514
"babine","m4a","p_loo",12.6926763300183,8.28424673838029
"babine","m4a","looic",74.4611699209371,17.8135162923028
"babine","m4b","elpd_loo",-38.6062399619017,10.28061968593
"babine","m4b","p_loo",14.1984705432872,9.66863490856328
"babine","m4b","looic",77.2124799238033,20.5612393718599
"banks","m1","elpd_loo",-62.4273132605291,23.0667962270621
"banks","m1","p_loo",47.7463220004742,22.5383482905845
"banks","m1","looic",124.854626521058,46.1335924541242
"banks","m2a","elpd_loo",-46.581694715611,16.6975202364443
"banks","m2a","p_loo",33.0952246838259,16.2552423576697
"banks","m2a","looic",93.163389431222,33.3950404728887
"banks","m2b","elpd_loo",-47.966234361889,18.1852376863258
"banks","m2b","p_loo",34.5197560922249,17.7589323383552
"banks","m2b","looic",95.9324687237781,36.3704753726517
"banks","m3","elpd_loo",-62.3833697680591,23.2930922154443
"banks","m3","p_loo",48.0544206124179,22.7424490322884
"banks","m3","looic",124.766739536118,46.5861844308887
"banks","m4a","elpd_loo",-46.7566039040362,16.4566136158347
"banks","m4a","p_loo",33.2581758837856,15.9823525066761
"banks","m4a","looic",93.5132078080724,32.9132272316694
"banks","m4b","elpd_loo",-47.2147215968554,17.0713337684126
"banks","m4b","p_loo",33.7685911604139,16.6079082517625
"banks","m4b","looic",94.4294431937109,34.1426675368251
"bear","m1","elpd_loo",-100.086243080037,49.4245805735065
"bear","m1","p_loo",84.8750338714375,49.109899376269
"bear","m1","looic",200.172486160074,98.849161147013
"bear","m2a","elpd_loo",-94.6666454670055,44.5954206943227
"bear","m2a","p_loo",81.3509105074333,44.2945969355139
"bear","m2a","looic",189.333290934011,89.1908413886453
"bear","m2b","elpd_loo",-92.0137715204112,43.944581990486
"bear","m2b","p_loo",78.585786171681,43.6325903520751
"bear","m2b","looic",184.027543040822,87.889163980972
"bear","m3","elpd_loo",-46.6877905099384,14.4474043800682
"bear","m3","p_loo",29.5406185653187,13.5761891815322
"bear","m3","looic",93.3755810198767,28.8948087601363
"bear","m4a","elpd_loo",-42.6496381635179,12.6086795292139
"bear","m4a","p_loo",28.2207791039394,11.8001135080613
"bear","m4a","looic",85.2992763270358,25.2173590584277
"bear","m4b","elpd_loo",-51.8277731684381,17.3544620358476
"bear","m4b","p_loo",37.2489519898579,16.634230145835
"bear","m4b","looic",103.655546336876,34.7089240716952
"bloomfield","m1","elpd_loo",-33.8806074885168,4.59729778786773
"bloomfield","m1","p_loo",9.87252604151657,3.72289623351877
"bloomfield","m1","looic",67.7612149770335,9.19459557573547
"bloomfield","m2a","elpd_loo",-34.9215583363211,5.20557364522222
