"","Pop","Model","Metric","Estimate","SE"
"elpd_loo","alastair","m1","elpd_loo",-35.1754299666348,4.74964538633183
"p_loo","alastair","m1","p_loo",4.2434177696743,1.68583334547011
"looic","alastair","m1","looic",70.3508599332696,9.49929077266367
"elpd_loo.1","alastair","m2a","elpd_loo",-34.123950108298,4.80585869003368
"p_loo.1","alastair","m2a","p_loo",3.39968622455195,1.33938675674642
"looic.1","alastair","m2a","looic",68.247900216596,9.61171738006736
"elpd_loo.2","alastair","m2b","elpd_loo",-34.0925000656905,4.80062046132389
"p_loo.2","alastair","m2b","p_loo",3.41178216629266,1.37860489280532
"looic.2","alastair","m2b","looic",68.185000131381,9.60124092264778
"elpd_loo.3","alastair","m3","elpd_loo",-34.8127413489878,4.71326644909155
"p_loo.3","alastair","m3","p_loo",3.75613948320437,1.43737046926275
"looic.3","alastair","m3","looic",69.6254826979756,9.42653289818311
"elpd_loo.4","alastair","m4a","elpd_loo",-33.9869367608772,4.77569440490696
"p_loo.4","alastair","m4a","p_loo",3.25740321826,1.24891452897156
"looic.4","alastair","m4a","looic",67.9738735217545,9.55138880981392
"elpd_loo.5","alastair","m4b","elpd_loo",-34.2068073443592,4.84900726067441
"p_loo.5","alastair","m4b","p_loo",3.44728689073561,1.33827929580403
"looic.5","alastair","m4b","looic",68.4136146887183,9.69801452134881
"elpd_loo1","asitika","m1","elpd_loo",-78.4408756861544,20.8501568638854
"p_loo1","asitika","m1","p_loo",75.1263491972686,20.7445865268442
"looic1","asitika","m1","looic",156.881751372309,41.7003137277708
"elpd_loo.11","asitika","m2a","elpd_loo",-2.01101180150228,0.304967171838438
"p_loo.11","asitika","m2a","p_loo",0.336194027089203,0.215597262608959
"looic.11","asitika","m2a","looic",4.02202360300456,0.609934343676876
"elpd_loo.21","asitika","m2b","elpd_loo",-2.24828254752884,0.433720611152433
"p_loo.21","asitika","m2b","p_loo",0.504300084703193,0.294613208444225
"looic.21","asitika","m2b","looic",4.49656509505769,0.867441222304866
"elpd_loo.31","asitika","m3","elpd_loo",-142.808769111771,4.06655814473659
"p_loo.31","asitika","m3","p_loo",139.821549409863,3.78092943373215
"looic.31","asitika","m3","looic",285.617538223542,8.13311628947318
"elpd_loo.41","asitika","m4a","elpd_loo",-2.32443660748818,0.334227421913026
"p_loo.41","asitika","m4a","p_loo",0.605451371490762,0.290530710094917
"looic.41","asitika","m4a","looic",4.64887321497637,0.668454843826051
"elpd_loo.51","asitika","m4b","elpd_loo",-3.41489241026802,0.881183346522628
"p_loo.51","asitika","m4b","p_loo",1.66222255646008,0.849848920525012
"looic.51","asitika","m4b","looic",6.82978482053603,1.76236669304526
"elpd_loo2","atnarko","m1","elpd_loo",-30.6905269284576,4.90298397685438
"p_loo2","atnarko","m1","p_loo",3.6215540000727,1.78088415574322
"looic2","atnarko","m1","looic",61.3810538569152,9.80596795370877
"elpd_loo.12","atnarko","m2a","elpd_loo",-32.5881132197138,7.57361191546448
"p_loo.12","atnarko","m2a","p_loo",4.63436493832802,2.36584982285855
"looic.12","atnarko","m2a","looic",65.1762264394276,15.147223830929
"elpd_loo.22","atnarko","m2b","elpd_loo",-35.3727431046027,8.44422616857572
"p_loo.22","atnarko","m2b","p_loo",5.44488197326521,2.69682753164888
"looic.22","atnarko","m2b","looic",70.7454862092054,16.8884523371514
"elpd_loo.32","atnarko","m3","elpd_loo",-33.6897489064998,6.22153817104353
"p_loo.32","atnarko","m3","p_loo",5.43940592914014,2.67285310382929
"looic.32","atnarko","m3","looic",67.3794978129997,12.4430763420871
"elpd_loo.42","atnarko","m4a","elpd_loo",-33.462478220529,7.64175410959798
"p_loo.42","atnarko","m4a","p_loo",4.78413783840863,2.35703700016154
"looic.42","atnarko","m4a","looic",66.924956441058,15.283508219196
"elpd_loo.52","atnarko","m4b","elpd_loo",-34.8027118247628,8.06484384971744
"p_loo.52","atnarko","m4b","p_loo",5.2406622342101,2.55090701250272
"looic.52","atnarko","m4b","looic",69.6054236495255,16.1296876994349
"elpd_loo3","awun","m1","elpd_loo",-32.3618229229961,4.88800023241465
"p_loo3","awun","m1","p_loo",3.7416241246448,1.63213388933894
"looic3","awun","m1","looic",64.7236458459923,9.7760004648293
"elpd_loo.13","awun","m2a","elpd_loo",-31.4726889146754,4.96038262619685
"p_loo.13","awun","m2a","p_loo",2.69469279803715,1.1477086016012
"looic.13","awun","m2a","looic",62.9453778293508,9.9207652523937
"elpd_loo.23","awun","m2b","elpd_loo",-31.5017297274276,4.89005111125522
"p_loo.23","awun","m2b","p_loo",2.67342845866714,1.13552153521663
"looic.23","awun","m2b","looic",63.0034594548553,9.78010222251044
"elpd_loo.33","awun","m3","elpd_loo",-32.3281690151852,4.81847427043609
"p_loo.33","awun","m3","p_loo",3.66497347772363,1.60221181213758
"looic.33","awun","m3","looic",64.6563380303703,9.63694854087218
"elpd_loo.43","awun","m4a","elpd_loo",-31.7160964564954,5.02685880548237
"p_loo.43","awun","m4a","p_loo",2.98206451582193,1.29383120215772
"looic.43","awun","m4a","looic",63.4321929129908,10.0537176109647
"elpd_loo.53","awun","m4b","elpd_loo",-31.6132012349002,4.93356238121907
"p_loo.53","awun","m4b","p_loo",2.84281868685285,1.20092821023234
"looic.53","awun","m4b","looic",63.2264024698005,9.86712476243815
"elpd_loo4","azuklotz","m1","elpd_loo",-51.2055183705422,24.0813415494433
"p_loo4","azuklotz","m1","p_loo",35.7348588704284,20.9540022055353
"looic4","azuklotz","m1","looic",102.411036741084,48.1626830988867
"elpd_loo.14","azuklotz","m2a","elpd_loo",-34.0773430896057,15.403831352704
"p_loo.14","azuklotz","m2a","p_loo",18.3183849441088,11.8740501050707
"looic.14","azuklotz","m2a","looic",68.1546861792114,30.8076627054079
"elpd_loo.24","azuklotz","m2b","elpd_loo",-33.4625898707849,15.3101952564918
"p_loo.24","azuklotz","m2b","p_loo",17.2322479373465,11.4876917858702
"looic.24","azuklotz","m2b","looic",66.9251797415697,30.6203905129835
"elpd_loo.34","azuklotz","m3","elpd_loo",-43.4884706548881,19.1028208719564
"p_loo.34","azuklotz","m3","p_loo",28.3162573715069,16.1026666231801
"looic.34","azuklotz","m3","looic",86.9769413097763,38.2056417439128
"elpd_loo.44","azuklotz","m4a","elpd_loo",-31.3069039977284,13.2118011420276
"p_loo.44","azuklotz","m4a","p_loo",15.7939699421835,9.74786071813387
"looic.44","azuklotz","m4a","looic",62.6138079954568,26.4236022840552
"elpd_loo.54","azuklotz","m4b","elpd_loo",-38.917522096597,19.6939737371401
"p_loo.54","azuklotz","m4b","p_loo",23.1662478492751,16.1502297495624
"looic.54","azuklotz","m4b","looic",77.8350441931941,39.3879474742802
"elpd_loo5","babine","m1","elpd_loo",-35.6611918812108,10.5134540179898
"p_loo5","babine","m1","p_loo",6.80190562523053,5.08928295041528
"looic5","babine","m1","looic",71.3223837624217,21.0269080359797
"elpd_loo.15","babine","m2a","elpd_loo",-34.4017300680885,10.0548450226644
"p_loo.15","babine","m2a","p_loo",5.23044377811624,3.90205036200761
"looic.15","babine","m2a","looic",68.803460136177,20.1096900453288
"elpd_loo.25","babine","m2b","elpd_loo",-34.6526768384589,10.3027038618401
"p_loo.25","babine","m2b","p_loo",5.45930206758647,4.02728640325883
"looic.25","babine","m2b","looic",69.3053536769177,20.6054077236802
"elpd_loo.35","babine","m3","elpd_loo",-35.9606063302734,11.0740840791566
"p_loo.35","babine","m3","p_loo",7.20739355383102,5.63826733422965
"looic.35","babine","m3","looic",71.9212126605467,22.1481681583132
"elpd_loo.45","babine","m4a","elpd_loo",-34.3323925313715,10.090498920972
"p_loo.45","babine","m4a","p_loo",5.26025341567889,3.97183933079612
"looic.45","babine","m4a","looic",68.664785062743,20.180997841944
"elpd_loo.55","babine","m4b","elpd_loo",-35.5364454311232,11.1405095573472
"p_loo.55","babine","m4b","p_loo",6.323045302528,4.93332066738655
"looic.55","babine","m4b","looic",71.0728908622464,22.2810191146944
"elpd_loo6","banks","m1","elpd_loo",-14.8684410009206,0.386526371015438
"p_loo6","banks","m1","p_loo",0.850269032848931,0.0962628388945968
"looic6","banks","m1","looic",29.7368820018412,0.773052742030877
"elpd_loo.16","banks","m2a","elpd_loo",-12.4548122850345,0.480486685188264
"p_loo.16","banks","m2a","p_loo",0.522351903410395,0.0923002800954409
"looic.16","banks","m2a","looic",24.9096245700689,0.960973370376529
"elpd_loo.26","banks","m2b","elpd_loo",-12.4743672166922,0.484812529942245
"p_loo.26","banks","m2b","p_loo",0.520250448342316,0.0909834965825821
"looic.26","banks","m2b","looic",24.9487344333843,0.969625059884491
"elpd_loo.36","banks","m3","elpd_loo",-14.407002390536,0.376384220049828
"p_loo.36","banks","m3","p_loo",0.789731800176567,0.0594002988899597
"looic.36","banks","m3","looic",28.8140047810719,0.752768440099655
"elpd_loo.46","banks","m4a","elpd_loo",-12.5512037598168,0.485010066792692
"p_loo.46","banks","m4a","p_loo",0.544343117225187,0.0902861375693974
"looic.46","banks","m4a","looic",25.1024075196337,0.970020133585385
"elpd_loo.56","banks","m4b","elpd_loo",-12.4925559174633,0.489726469593192
"p_loo.56","banks","m4b","p_loo",0.537501590984032,0.0872917078278362
"looic.56","banks","m4b","looic",24.9851118349265,0.979452939186383
"elpd_loo7","bear","m1","elpd_loo",-100.460187452657,50.5346394645675
"p_loo7","bear","m1","p_loo",83.65006294075,49.2114834970314
"looic7","bear","m1","looic",200.920374905315,101.069278929135
"elpd_loo.17","bear","m2a","elpd_loo",-92.6667406871659,44.7987119070768
"p_loo.17","bear","m2a","p_loo",77.216668011375,43.6412640022059
"looic.17","bear","m2a","looic",185.333481374332,89.5974238141536
"elpd_loo.27","bear","m2b","elpd_loo",-93.047699979692,45.6183706432334
"p_loo.27","bear","m2b","p_loo",78.0191349314951,44.5356803680175
"looic.27","bear","m2b","looic",186.095399959384,91.2367412864667
"elpd_loo.37","bear","m3","elpd_loo",-47.4051048398279,15.9558371323416
"p_loo.37","bear","m3","p_loo",26.2889249724004,12.9027806677216
"looic.37","bear","m3","looic",94.8102096796559,31.9116742646832
"elpd_loo.47","bear","m4a","elpd_loo",-41.9012552803085,13.9041040389085
"p_loo.47","bear","m4a","p_loo",21.00259063201,10.1521708940213
"looic.47","bear","m4a","looic",83.8025105606169,27.8082080778171
"elpd_loo.57","bear","m4b","elpd_loo",-51.0265691811204,18.2984383609332
"p_loo.57","bear","m4b","p_loo",30.6105358718411,15.0969239203836
"looic.57","bear","m4b","looic",102.053138362241,36.5968767218665
"elpd_loo8","bloomfield","m1","elpd_loo",-26.2846155984753,2.58779221658762
"p_loo8","bloomfield","m1","p_loo",1.73177166963337,0.55689894602499
"looic8","bloomfield","m1","looic",52.5692311969507,5.17558443317523
"elpd_loo.18","bloomfield","m2a","elpd_loo",-24.9660515054293,3.27978119018367
"p_loo.18","bloomfield","m2a","p_loo",1.70873834859598,0.699488582467794
"looic.18","bloomfield","m2a","looic",49.9321030108585,6.55956238036733
"elpd_loo.28","bloomfield","m2b","elpd_loo",-25.0317910833231,3.29718778699184
"p_loo.28","bloomfield","m2b","p_loo",1.68652348169236,0.689284933193776
"looic.28","bloomfield","m2b","looic",50.0635821666462,6.59437557398369
"elpd_loo.38","bloomfield","m3","elpd_loo",-27.6439147863925,1.31885883758704
"p_loo.38","bloomfield","m3","p_loo",1.10064965503373,0.208048668787752
"looic.38","bloomfield","m3","looic",55.2878295727851,2.63771767517409
"elpd_loo.48","bloomfield","m4a","elpd_loo",-24.2520326915346,2.12402009545794
"p_loo.48","bloomfield","m4a","p_loo",1.1284399231989,0.390254405604899
"looic.48","bloomfield","m4a","looic",48.5040653830691,4.24804019091587
"elpd_loo.58","bloomfield","m4b","elpd_loo",-24.1903972288409,2.11564683427788
"p_loo.58","bloomfield","m4b","p_loo",1.05832028666087,0.354519002921033
"looic.58","bloomfield","m4b","looic",48.3807944576817,4.23129366855575
"elpd_loo9","bonilla","m1","elpd_loo",-24.7702178206179,1.85263851558105
"p_loo9","bonilla","m1","p_loo",1.7357366239691,0.298967282042133
"looic9","bonilla","m1","looic",49.5404356412357,3.7052770311621
"elpd_loo.19","bonilla","m2a","elpd_loo",-23.8246712177903,2.20216616986347
"p_loo.19","bonilla","m2a","p_loo",1.59553161052677,0.352184182216419
"looic.19","bonilla","m2a","looic",47.6493424355806,4.40433233972693
"elpd_loo.29","bonilla","m2b","elpd_loo",-23.6890999130479,2.20818385210884
"p_loo.29","bonilla","m2b","p_loo",1.54379187948937,0.351710824060997
"looic.29","bonilla","m2b","looic",47.3781998260959,4.41636770421768
"elpd_loo.39","bonilla","m3","elpd_loo",-24.1755616713818,1.87587773474867
"p_loo.39","bonilla","m3","p_loo",1.59218807342776,0.283482256198871
"looic.39","bonilla","m3","looic",48.3511233427635,3.75175546949734
"elpd_loo.49","bonilla","m4a","elpd_loo",-23.8246872843213,2.19020712390865
"p_loo.49","bonilla","m4a","p_loo",1.56838791685884,0.338341938483332
"looic.49","bonilla","m4a","looic",47.6493745686427,4.38041424781731
"elpd_loo.59","bonilla","m4b","elpd_loo",-23.7566484720147,2.19309509446936
"p_loo.59","bonilla","m4b","p_loo",1.59552781432226,0.345826754624557
"looic.59","bonilla","m4b","looic",47.5132969440295,4.38619018893872
"elpd_loo10","borrowman","m1","elpd_loo",-744.755801766964,650.924921025586
"p_loo10","borrowman","m1","p_loo",729.099114051865,649.090175715316
"looic10","borrowman","m1","looic",1489.51160353393,1301.84984205117
"elpd_loo.110","borrowman","m2a","elpd_loo",-140.083615830629,123.09618237993
"p_loo.110","borrowman","m2a","p_loo",126.720678975491,121.813218155486
"looic.110","borrowman","m2a","looic",280.167231661259,246.192364759859
"elpd_loo.210","borrowman","m2b","elpd_loo",-89.8549355312752,76.3472749716469
"p_loo.210","borrowman","m2b","p_loo",76.7104015884141,75.0921949945239
"looic.210","borrowman","m2b","looic",179.70987106255,152.694549943294
"elpd_loo.310","borrowman","m3","elpd_loo",-1347.05248998439,1239.57030960607
"p_loo.310","borrowman","m3","p_loo",1326.58098238447,1235.89157215216
"looic.310","borrowman","m3","looic",2694.10497996878,2479.14061921213
"elpd_loo.410","borrowman","m4a","elpd_loo",-296.582112714626,263.909041691661
"p_loo.410","borrowman","m4a","p_loo",281.681193292669,261.689152188954
"looic.410","borrowman","m4a","looic",593.164225429252,527.818083383323
"elpd_loo.510","borrowman","m4b","elpd_loo",-265.651797783861,236.39775895896
"p_loo.510","borrowman","m4b","p_loo",251.169218101305,234.363227672038
"looic.510","borrowman","m4b","looic",531.303595567723,472.795517917921
