"Weight","Model","Pop"
1.63970121771482e-08,"m1","alastair"
6.57024320030773e-07,"m2a","alastair"
0.999999176308335,"m2b","alastair"
3.09753286319497e-10,"m3","alastair"
1.13729991327413e-07,"m4a","alastair"
3.62305880852176e-08,"m4b","alastair"
5.70197142081556e-10,"m1","asitika"
6.53005553190684e-09,"m2a","asitika"
8.2543081779586e-08,"m2b","asitika"
1.27786035731419e-09,"m3","asitika"
4.95814727469996e-08,"m4a","asitika"
0.999999859497332,"m4b","asitika"
0.344220475621845,"m1","atnarko"
0.655779260117573,"m2a","atnarko"
3.0217512354623e-08,"m2b","atnarko"
1.99439758782848e-08,"m3","atnarko"
2.11617786346475e-07,"m4a","atnarko"
2.48130760382992e-09,"m4b","atnarko"
2.59766586636154e-08,"m1","awun"
0.99999878860274,"m2a","awun"
1.06370377501943e-06,"m2b","awun"
6.34727249680612e-09,"m3","awun"
2.19045850028645e-08,"m4a","awun"
9.34649686534783e-08,"m4b","awun"
1.44424255864614e-07,"m1","azuklotz"
2.60073923883635e-06,"m2a","azuklotz"
0.228075861600748,"m2b","azuklotz"
0.0737939926613951,"m3","azuklotz"
0.698121612145268,"m4a","azuklotz"
5.78842909415567e-06,"m4b","azuklotz"
2.09236529543493e-08,"m1","babine"
4.41483619132203e-08,"m2a","babine"
0.999998673800356,"m2b","babine"
7.50398804222476e-09,"m3","babine"
3.66950193167984e-07,"m4a","babine"
8.86673447775266e-07,"m4b","babine"
4.525550327654e-09,"m1","banks"
2.09606638658934e-07,"m2a","banks"
4.27363898391124e-06,"m2b","banks"
6.98155616869793e-11,"m3","banks"
5.79586879039348e-07,"m4a","banks"
0.999994932572132,"m4b","banks"
1.62214630142511e-08,"m1","bear"
6.57293920137433e-05,"m2a","bear"
0.999934192728709,"m2b","bear"
1.02587022032751e-08,"m3","bear"
5.04153097780514e-08,"m4a","bear"
9.83801817788788e-10,"m4b","bear"
9.48397507906193e-08,"m1","bloomfield"
2.27124324604908e-05,"m2a","bloomfield"
0.490380467708036,"m2b","bloomfield"
4.92233530107776e-11,"m3","bloomfield"
8.46792090384399e-06,"m4a","bloomfield"
0.509588257049626,"m4b","bloomfield"
1.02640095254129e-09,"m1","bonilla"
0.999998331099418,"m2a","bonilla"
1.40383326647979e-06,"m2b","bonilla"
7.30083505473409e-09,"m3","bonilla"
6.58509514845149e-08,"m4a","bonilla"
1.90889128393046e-07,"m4b","bonilla"
6.02286971131668e-08,"m1","borrowman"
1.31142056831174e-06,"m2a","borrowman"
0.999980120180077,"m2b","borrowman"
9.30119499979265e-09,"m3","borrowman"
9.31757570079774e-07,"m4a","borrowman"
1.75671118929355e-05,"m4b","borrowman"
0.999999500251423,"m1","bowser"
3.30939607119575e-07,"m2a","bowser"
1.6671046679705e-07,"m2b","bowser"
1.08899604349919e-09,"m3","bowser"
1.84460385044992e-10,"m4a","bowser"
8.2504669762784e-10,"m4b","bowser"
6.67123030712669e-08,"m1","canoona"
0.00120645506812652,"m2a","canoona"
2.25097214711792e-05,"m2b","canoona"
2.37806036137484e-07,"m3","canoona"
0.998751338182286,"m4a","canoona"
1.93925097770054e-05,"m4b","canoona"
1.00035018053311e-06,"m1","curtis-inlet"
2.50607566201412e-07,"m2a","curtis-inlet"
0.626976310605244,"m2b","curtis-inlet"
0.373022033378073,"m3","curtis-inlet"
2.67110529645765e-07,"m4a","curtis-inlet"
1.37948406808697e-07,"m4b","curtis-inlet"
4.71862601622299e-09,"m1","damdochax"
6.26281545524157e-11,"m2a","damdochax"
5.35048456031911e-08,"m2b","damdochax"
2.39986296984043e-08,"m3","damdochax"
7.46218117696647e-07,"m4a","damdochax"
0.999999171497153,"m4b","damdochax"
7.59331103290571e-08,"m1","devon"
4.10499714637954e-06,"m2a","devon"
0.999993870019773,"m2b","devon"
8.26974092329857e-09,"m3","devon"
8.85186180074976e-07,"m4a","devon"
1.05559404950384e-06,"m4b","devon"
1.05542138485085e-08,"m1","evelyn"
1.72882581477945e-07,"m2a","evelyn"
6.03211165321805e-07,"m2b","evelyn"
1.06063025024509e-10,"m3","evelyn"
1.24092748750448e-06,"m4a","evelyn"
0.999997972318489,"m4b","evelyn"
1.08250899626769e-08,"m1","fairfax"
1.4270009641488e-07,"m2a","fairfax"
5.42714622592792e-07,"m2b","fairfax"
4.59909714201209e-08,"m3","fairfax"
