"Weight","Model","Pop"
1.05928254727199e-09,"m2b","alastair"
0.999999998940717,"m4b","alastair"
1.04988505894136e-09,"m2b","asitika"
0.999999998950115,"m4b","asitika"
0.394781149879565,"m2b","atnarko"
0.605218850120435,"m4b","atnarko"
1.7598920861512e-07,"m2b","awun"
0.999999824010791,"m4b","awun"
0.283000985072218,"m2b","azuklotz"
0.716999014927783,"m4b","azuklotz"
1.71115547616304e-09,"m2b","babine"
0.999999998288845,"m4b","babine"
8.4749771140654e-10,"m2b","banks"
0.999999999152502,"m4b","banks"
6.24035110427367e-10,"m2b","bear"
0.999999999375965,"m4b","bear"
6.53782848434152e-10,"m2b","bloomfield"
0.999999999346217,"m4b","bloomfield"
7.43178895581898e-09,"m2b","bonilla"
0.999999992568211,"m4b","bonilla"
1.40956840583119e-11,"m2b","borrowman"
0.999999999985904,"m4b","borrowman"
0.561275213154567,"m2b","bowser"
0.438724786845433,"m4b","bowser"
0.0548360088484033,"m2b","canoona"
0.945163991151597,"m4b","canoona"
0.999999917627055,"m2b","curtis-inlet"
8.2372945020559e-08,"m4b","curtis-inlet"
4.38830657763374e-11,"m2b","damdochax"
0.999999999956117,"m4b","damdochax"
1.51791787922121e-08,"m2b","devon"
0.999999984820821,"m4b","devon"
2.51339517790154e-10,"m2b","evelyn"
0.99999999974866,"m4b","evelyn"
1.20337300570258e-09,"m2b","fairfax"
0.999999998796627,"m4b","fairfax"
0.999999999915282,"m2b","fred-wright"
8.47176773177694e-11,"m4b","fred-wright"
2.43776895204763e-10,"m2b","freeda-lakes"
0.999999999756223,"m4b","freeda-lakes"
6.27430193667763e-08,"m2b","hartley-bay"
0.999999937256981,"m4b","hartley-bay"
0.999999980709631,"m2b","hauyat"
1.92903686357937e-08,"m4b","hauyat"
8.18148757474553e-10,"m2b","johanson"
0.999999999181851,"m4b","johanson"
2.42227969533009e-09,"m2b","johnston"
0.99999999757772,"m4b","johnston"
4.67693499166637e-09,"m2b","kadjusdis"
0.999999995323065,"m4b","kadjusdis"
0.465683488209977,"m2b","kainet"
0.534316511790023,"m4b","kainet"
1.11560688176084e-08,"m2b","kdelmashan"
0.999999988843931,"m4b","kdelmashan"
1.06338673770615e-09,"m2b","keecha"
0.999999998936613,"m4b","keecha"
4.05872148361216e-10,"m2b","keswar"
0.999999999594128,"m4b","keswar"
0.693403992232727,"m2b","kimsquit"
0.306596007767273,"m4b","kimsquit"
7.29509272376837e-10,"m2b","kisameet"
0.999999999270491,"m4b","kisameet"
0.999999208769197,"m2b","kitkiata"
7.91230802987819e-07,"m4b","kitkiata"
1.88717777065899e-08,"m2b","kitlope"
0.999999981128222,"m4b","kitlope"
5.17461074781898e-09,"m2b","kitsumkalum"
0.999999994825389,"m4b","kitsumkalum"
0.090862728275481,"m2b","kitwancool"
0.909137271724519,"m4b","kitwancool"
8.82400419397458e-09,"m2b","koeye"
0.999999991175996,"m4b","koeye"
2.32085924641416e-09,"m2b","kooryet"
0.999999997679141,"m4b","kooryet"
2.25415531102943e-09,"m2b","kwakwa"
0.999999997745845,"m4b","kwakwa"
6.01601090394304e-10,"m2b","lakelse"
0.999999999398399,"m4b","lakelse"
0.999999999269618,"m2b","long"
7.30382310187849e-10,"m4b","long"
3.20381714470995e-11,"m2b","lowe"
0.999999999967962,"m4b","lowe"
0.209728732005472,"m2b","marian-eden"
0.790271267994528,"m4b","marian-eden"
7.21915590107425e-09,"m2b","mary-cove"
0.999999992780844,"m4b","mary-cove"
0.694617652617591,"m2b","mathers"
0.305382347382409,"m4b","mathers"
2.53873182872072e-09,"m2b","mcdonell"
0.999999997461268,"m4b","mcdonell"
0.203720902822254,"m2b","mcloughlin"
0.796279097177746,"m4b","mcloughlin"
0.999999976958788,"m2b","mercer"
2.30412124935242e-08,"m4b","mercer"
0.99999996839351,"m2b","meziadin"
3.16064902028401e-08,"m4b","meziadin"
0.999999999596172,"m2b","mikado"
4.03828415151963e-10,"m4b","mikado"
0.99999998863489,"m2b","morice"
1.13651101862899e-08,"m4b","morice"
7.53465929515694e-09,"m2b","morrison"
0.999999992465341,"m4b","morrison"
2.5248367906781e-10,"m2b","motase"
0.999999999747516,"m4b","motase"
2.93591665903826e-09,"m2b","namu"
0.999999997064083,"m4b","namu"
0.0588474554199327,"m2b","owikeno"
0.941152544580067,"m4b","owikeno"
0.347815887333605,"m2b","port-john"
0.652184112666395,"m4b","port-john"
1.33858851690492e-08,"m2b","price"
0.999999986614115,"m4b","price"
7.40482743884487e-10,"m2b","prudhomme"
0.999999999259517,"m4b","prudhomme"
2.16099965401502e-10,"m2b","shawaltan"
0.9999999997839,"m4b","shawaltan"
1.59517718531266e-10,"m2b","sheneeza"
0.999999999840482,"m4b","sheneeza"
1.19161806873016e-09,"m2b","skidegate"
0.999999998808382,"m4b","skidegate"
4.64235814785936e-10,"m2b","slamgeesh"
0.999999999535764,"m4b","slamgeesh"
7.37069202791357e-09,"m2b","stephens"
0.999999992629308,"m4b","stephens"
1.1568751315126e-09,"m2b","sustut"
0.999999998843125,"m4b","sustut"
0.999999985239834,"m2b","swan"
1.47601659783447e-08,"m4b","swan"
9.46796314490117e-10,"m2b","tankeeah"
0.999999999053204,"m4b","tankeeah"
2.88389030101198e-10,"m2b","tuno-east"
0.999999999711611,"m4b","tuno-east"
1.58848955663277e-10,"m2b","tuno-west"
0.999999999841151,"m4b","tuno-west"
5.39247563490406e-09,"m2b","yakoun"
0.999999994607524,"m4b","yakoun"
0.86658409241479,"m2b","yeo"
0.13341590758521,"m4b","yeo"
