"Weight","Model","Pop"
3.6892968439316e-09,"m1","alastair"
0.999999996310703,"m4a","alastair"
2.72592153518892e-09,"m1","asitika"
0.999999997274079,"m4a","asitika"
0.502024016082935,"m1","atnarko"
0.497975983917065,"m4a","atnarko"
8.82667513636498e-08,"m1","awun"
0.999999911733249,"m4a","awun"
1.55925938618471e-08,"m1","azuklotz"
0.999999984407406,"m4a","azuklotz"
2.92187882616674e-10,"m1","babine"
0.999999999707812,"m4a","babine"
1.4396317064396e-10,"m1","banks"
0.999999999856037,"m4a","banks"
0.966318625695295,"m1","bear"
0.0336813743047051,"m4a","bear"
0.286750386971268,"m1","bloomfield"
0.713249613028732,"m4a","bloomfield"
1.82693799230911e-10,"m1","bonilla"
0.999999999817306,"m4a","bonilla"
2.92271998455167e-08,"m1","borrowman"
0.9999999707728,"m4a","borrowman"
0.999999999779315,"m1","bowser"
2.20684914786773e-10,"m4a","bowser"
2.24000510038468e-07,"m1","canoona"
0.99999977599949,"m4a","canoona"
0.853905691251084,"m1","curtis-inlet"
0.146094308748916,"m4a","curtis-inlet"
4.09315705721094e-11,"m1","damdochax"
0.999999999959068,"m4a","damdochax"
1.5191437112366e-09,"m1","devon"
0.999999998480856,"m4a","devon"
3.94500615582636e-10,"m1","evelyn"
0.999999999605499,"m4a","evelyn"
2.93573174252486e-10,"m1","fairfax"
0.999999999706427,"m4a","fairfax"
0.999999998302566,"m1","fred-wright"
1.6974336380926e-09,"m4a","fred-wright"
0.693934930831211,"m1","freeda-lakes"
0.306065069168789,"m4a","freeda-lakes"
1.03224991418567e-09,"m1","hartley-bay"
0.99999999896775,"m4a","hartley-bay"
0.724712027316961,"m1","hauyat"
0.275287972683039,"m4a","hauyat"
8.97080927283808e-16,"m1","johanson"
0.999999999999999,"m4a","johanson"
1.13647129462949e-09,"m1","johnston"
0.999999998863529,"m4a","johnston"
4.05089188830386e-10,"m1","kadjusdis"
0.999999999594911,"m4a","kadjusdis"
0.115012801200596,"m1","kainet"
0.884987198799404,"m4a","kainet"
3.6752231384658e-10,"m1","kdelmashan"
0.999999999632478,"m4a","kdelmashan"
1.60946278712594e-10,"m1","keecha"
0.999999999839054,"m4a","keecha"
1.38729648990602e-10,"m1","keswar"
0.99999999986127,"m4a","keswar"
0.670746645733141,"m1","kimsquit"
0.329253354266859,"m4a","kimsquit"
4.72531583034913e-10,"m1","kisameet"
0.999999999527468,"m4a","kisameet"
0.999999977162247,"m1","kitkiata"
2.2837753244076e-08,"m4a","kitkiata"
7.16138408665552e-09,"m1","kitlope"
0.999999992838616,"m4a","kitlope"
1.40516990570444e-09,"m1","kitsumkalum"
0.99999999859483,"m4a","kitsumkalum"
0.181691785584019,"m1","kitwancool"
0.818308214415981,"m4a","kitwancool"
1.90932069604269e-09,"m1","koeye"
0.999999998090679,"m4a","koeye"
1.01844323408986e-09,"m1","kooryet"
0.999999998981557,"m4a","kooryet"
1.16065347805926e-08,"m1","kwakwa"
0.999999988393465,"m4a","kwakwa"
1.24938484301147e-09,"m1","lakelse"
0.999999998750615,"m4a","lakelse"
0.999999954180083,"m1","long"
4.58199166386564e-08,"m4a","long"
1.72737088893112e-11,"m1","lowe"
0.999999999982726,"m4a","lowe"
1.40203646407021e-08,"m1","marian-eden"
0.999999985979635,"m4a","marian-eden"
0.71139694086228,"m1","mary-cove"
0.28860305913772,"m4a","mary-cove"
0.240022794897845,"m1","mathers"
0.759977205102155,"m4a","mathers"
6.20298725701674e-10,"m1","mcdonell"
0.999999999379701,"m4a","mcdonell"
4.25623886895099e-09,"m1","mcloughlin"
0.999999995743761,"m4a","mcloughlin"
7.03478160847921e-09,"m1","mercer"
0.999999992965218,"m4a","mercer"
0.300252684966653,"m1","meziadin"
0.699747315033347,"m4a","meziadin"
0.999999613677939,"m1","mikado"
3.8632206100786e-07,"m4a","mikado"
0.554300718835596,"m1","morice"
0.445699281164404,"m4a","morice"
0.999999994619536,"m1","morrison"
5.38046374121137e-09,"m4a","morrison"
0.999999999875184,"m1","motase"
1.24816490476576e-10,"m4a","motase"
3.51436522465005e-09,"m1","namu"
0.999999996485635,"m4a","namu"
0.092480988712753,"m1","owikeno"
0.907519011287247,"m4a","owikeno"
4.59269250610548e-09,"m1","port-john"
0.999999995407307,"m4a","port-john"
3.32388539241539e-10,"m1","price"
0.999999999667611,"m4a","price"
2.16502698421842e-09,"m1","prudhomme"
0.999999997834973,"m4a","prudhomme"
1.05093511049594e-09,"m1","shawaltan"
0.999999998949065,"m4a","shawaltan"
4.91932212807368e-10,"m1","sheneeza"
0.999999999508068,"m4a","sheneeza"
3.74496813987572e-09,"m1","skidegate"
0.999999996255032,"m4a","skidegate"
1.81589600719954e-10,"m1","slamgeesh"
0.99999999981841,"m4a","slamgeesh"
5.17271803928868e-08,"m1","stephens"
0.99999994827282,"m4a","stephens"
1.10750029370228e-10,"m1","sustut"
0.99999999988925,"m4a","sustut"
0.999999993140505,"m1","swan"
6.85949508305583e-09,"m4a","swan"
4.0025796250558e-10,"m1","tankeeah"
0.999999999599742,"m4a","tankeeah"
1.50890252884119e-09,"m1","tuno-east"
0.999999998491097,"m4a","tuno-east"
0.338507170313779,"m1","tuno-west"
0.661492829686221,"m4a","tuno-west"
1.10945220531028e-09,"m1","yakoun"
0.999999998890548,"m4a","yakoun"
0.609017187590538,"m1","yeo"
0.390982812409462,"m4a","yeo"
