"Weight","Model","Pop"
7.0110706888212e-09,"m1","alastair"
0.999999992988929,"m4b","alastair"
4.09879643835216e-10,"m1","asitika"
0.99999999959012,"m4b","asitika"
0.612765915133516,"m1","atnarko"
0.387234084866484,"m4b","atnarko"
1.97235354962815e-08,"m1","awun"
0.999999980276465,"m4b","awun"
0.036727526320018,"m1","azuklotz"
0.963272473679982,"m4b","azuklotz"
3.243854923558e-10,"m1","babine"
0.999999999675614,"m4b","babine"
1.14433475533712e-10,"m1","banks"
0.999999999885567,"m4b","banks"
0.999999440079856,"m1","bear"
5.59920143583525e-07,"m4b","bear"
0.266937270847648,"m1","bloomfield"
0.733062729152352,"m4b","bloomfield"
9.52223080017048e-11,"m1","bonilla"
0.999999999904778,"m4b","bonilla"
2.47504840890411e-08,"m1","borrowman"
0.999999975249516,"m4b","borrowman"
0.999999999699576,"m1","bowser"
3.00424130017518e-10,"m4b","bowser"
0.059697437721017,"m1","canoona"
0.940302562278983,"m4b","canoona"
0.728942734532161,"m1","curtis-inlet"
0.271057265467839,"m4b","curtis-inlet"
7.94662734518257e-11,"m1","damdochax"
0.999999999920534,"m4b","damdochax"
1.7474410801575e-08,"m1","devon"
0.999999982525589,"m4b","devon"
6.10928170565265e-09,"m1","evelyn"
0.999999993890718,"m4b","evelyn"
3.02498130945184e-10,"m1","fairfax"
0.999999999697502,"m4b","fairfax"
0.999999995404487,"m1","fred-wright"
4.59551341425168e-09,"m4b","fred-wright"
0.768651020917615,"m1","freeda-lakes"
0.231348979082385,"m4b","freeda-lakes"
1.0603139476566e-08,"m1","hartley-bay"
0.999999989396861,"m4b","hartley-bay"
0.685547739009649,"m1","hauyat"
0.314452260990351,"m4b","hauyat"
2.71436662700072e-10,"m1","johanson"
0.999999999728563,"m4b","johanson"
1.09467974202551e-09,"m1","johnston"
0.99999999890532,"m4b","johnston"
8.00065322420501e-10,"m1","kadjusdis"
0.999999999199935,"m4b","kadjusdis"
0.266184750169404,"m1","kainet"
0.733815249830596,"m4b","kainet"
1.20980921418409e-09,"m1","kdelmashan"
0.999999998790191,"m4b","kdelmashan"
4.64444850352435e-10,"m1","keecha"
0.999999999535555,"m4b","keecha"
3.63408732399576e-10,"m1","keswar"
0.999999999636591,"m4b","keswar"
0.705685168219294,"m1","kimsquit"
0.294314831780706,"m4b","kimsquit"
1.29609340289258e-10,"m1","kisameet"
0.999999999870391,"m4b","kisameet"
0.999999430544581,"m1","kitkiata"
5.69455419374698e-07,"m4b","kitkiata"
1.18526713438823e-09,"m1","kitlope"
0.999999998814733,"m4b","kitlope"
1.58790705938447e-09,"m1","kitsumkalum"
0.999999998412093,"m4b","kitsumkalum"
0.189210588087923,"m1","kitwancool"
0.810789411912077,"m4b","kitwancool"
5.18603207227398e-09,"m1","koeye"
0.999999994813968,"m4b","koeye"
8.81259809558054e-10,"m1","kooryet"
0.99999999911874,"m4b","kooryet"
1.34405558581322e-09,"m1","kwakwa"
0.999999998655944,"m4b","kwakwa"
3.85999005162866e-10,"m1","lakelse"
0.999999999614001,"m4b","lakelse"
0.999999999695846,"m1","long"
3.04154146313351e-10,"m4b","long"
8.66892495081547e-10,"m1","lowe"
0.999999999133108,"m4b","lowe"
1.89080242856612e-08,"m1","marian-eden"
0.999999981091976,"m4b","marian-eden"
0.704011434989227,"m1","mary-cove"
0.295988565010773,"m4b","mary-cove"
0.200141489102485,"m1","mathers"
0.799858510897515,"m4b","mathers"
1.17891044223387e-10,"m1","mcdonell"
0.999999999882109,"m4b","mcdonell"
6.4750032932527e-10,"m1","mcloughlin"
0.9999999993525,"m4b","mcloughlin"
6.75946838379631e-09,"m1","mercer"
0.999999993240532,"m4b","mercer"
1.3950486027368e-08,"m1","meziadin"
0.999999986049514,"m4b","meziadin"
0.999999869620312,"m1","mikado"
1.30379687601767e-07,"m4b","mikado"
0.526178399212642,"m1","morice"
0.473821600787358,"m4b","morice"
0.999999900007194,"m1","morrison"
9.99928055911425e-08,"m4b","morrison"
0.999999999862038,"m1","motase"
1.37961753132743e-10,"m4b","motase"
8.51448710951767e-10,"m1","namu"
0.999999999148551,"m4b","namu"
0.0925488299445769,"m1","owikeno"
0.907451170055423,"m4b","owikeno"
0.0344159421303023,"m1","port-john"
0.965584057869698,"m4b","port-john"
2.30122049871942e-09,"m1","price"
0.999999997698779,"m4b","price"
7.51219475323126e-08,"m1","prudhomme"
0.999999924878052,"m4b","prudhomme"
1.26501322647446e-09,"m1","shawaltan"
0.999999998734987,"m4b","shawaltan"
1.95985197326481e-10,"m1","sheneeza"
0.999999999804015,"m4b","sheneeza"
1.00662117365478e-08,"m1","skidegate"
0.999999989933788,"m4b","skidegate"
1.64792880277976e-09,"m1","slamgeesh"
0.999999998352071,"m4b","slamgeesh"
2.28477872000268e-11,"m1","stephens"
0.999999999977152,"m4b","stephens"
8.3966683947575e-11,"m1","sustut"
0.999999999916033,"m4b","sustut"
0.999999999080185,"m1","swan"
9.19815223987541e-10,"m4b","swan"
1.64189402672501e-08,"m1","tankeeah"
0.99999998358106,"m4b","tankeeah"
3.52494351452093e-09,"m1","tuno-east"
0.999999996475056,"m4b","tuno-east"
0.281432597999412,"m1","tuno-west"
0.718567402000588,"m4b","tuno-west"
2.24853146418029e-10,"m1","yakoun"
0.999999999775147,"m4b","yakoun"
0.658603111332631,"m1","yeo"
0.341396888667369,"m4b","yeo"
