"","Pop","Model","Weight"
"m1","alastair","m1","3.37925028021052e-07"
"m2a","alastair","m2a","0.991070049032578"
"m2b","alastair","m2b","0.00892449227056654"
"m3","alastair","m3","3.03769438023956e-08"
"m4a","alastair","m4a","2.58396133830962e-06"
"m4b","alastair","m4b","2.50643354582358e-06"
"m11","asitika","m1","2.54653539648479e-08"
"m2a1","asitika","m2a","1.14586271476549e-06"
"m2b1","asitika","m2b","0.999993746341039"
"m31","asitika","m3","6.42876930890192e-10"
"m4a1","asitika","m4a","1.52688171638441e-06"
"m4b1","asitika","m4b","3.55480629887772e-06"
"m12","atnarko","m1","2.73103533827378e-07"
"m2a2","atnarko","m2a","0.686365766772533"
"m2b2","atnarko","m2b","2.2322887093228e-06"
"m32","atnarko","m3","1.26602106999752e-08"
"m4a2","atnarko","m4a","0.313523943495416"
"m4b2","atnarko","m4b","0.000107771679597635"
"m13","awun","m1","1.35955352555208e-07"
"m2a3","awun","m2a","0.999983113220174"
"m2b3","awun","m2b","2.2141092002154e-06"
"m33","awun","m3","1.33949235120957e-07"
"m4a3","awun","m4a","1.85531617105181e-06"
"m4b3","awun","m4b","1.25474498670064e-05"
"m14","azuklotz","m1","7.5001365234013e-08"
"m2a4","azuklotz","m2a","0.300515162458613"
"m2b4","azuklotz","m2b","0.638427472175761"
"m34","azuklotz","m3","1.60749889593735e-08"
"m4a4","azuklotz","m4a","0.061026941676568"
"m4b4","azuklotz","m4b","3.03326127040204e-05"
"m15","babine","m1","2.47295068024385e-08"
"m2a5","babine","m2a","3.18490889759385e-06"
"m2b5","babine","m2b","0.000252301487925274"
"m35","babine","m3","4.94357937187052e-07"
"m4a5","babine","m4a","2.51390921539527e-05"
"m4b5","babine","m4b","0.999718855423579"
"m16","banks","m1","4.99121038452772e-09"
"m2a6","banks","m2a","2.63207749484073e-06"
"m2b6","banks","m2b","0.998711804585947"
"m36","banks","m3","7.31844678265644e-08"
"m4a6","banks","m4a","1.96084166996596e-05"
"m4b6","banks","m4b","0.00126587674418044"
"m17","bear","m1","7.94744262901862e-08"
"m2a7","bear","m2a","0.999996607005823"
"m2b7","bear","m2b","1.89379369594173e-06"
"m37","bear","m3","6.99290557312561e-09"
"m4a7","bear","m4a","6.70292749895408e-07"
"m4b7","bear","m4b","7.42440398826538e-07"
"m18","bloomfield","m1","0.260305237774539"
"m2a8","bloomfield","m2a","5.44750544394411e-08"
"m2b8","bloomfield","m2b","0.237223693435725"
"m38","bloomfield","m3","5.72560295205245e-09"
"m4a8","bloomfield","m4a","1.86131762082924e-06"
"m4b8","bloomfield","m4b","0.502469147271458"
"m19","bonilla","m1","2.71854274512256e-07"
"m2a9","bonilla","m2a","1.53090161347538e-05"
"m2b9","bonilla","m2b","5.24519428360657e-06"
"m39","bonilla","m3","1.59752048985982e-06"
"m4a9","bonilla","m4a","0.217721169775247"
"m4b9","bonilla","m4b","0.78225640663957"
"m110","borrowman","m1","2.65326561384177e-08"
"m2a10","borrowman","m2a","5.08889541677626e-05"
"m2b10","borrowman","m2b","0.917733939076101"
"m310","borrowman","m3","1.35989041802222e-05"
"m4a10","borrowman","m4a","0.0593168810015284"
"m4b10","borrowman","m4b","0.0228846655313664"
"m111","bowser","m1","0.000117413655816997"
"m2a11","bowser","m2a","9.47561333524091e-06"
"m2b11","bowser","m2b","0.999872939291625"
"m311","bowser","m3","3.1599000178111e-09"
