"pop","Smsy_med"
"Alastair",12638.3438054186
"Asitika",1329.43118354874
"Atnarko",17090.1068598076
"Awun",4270.62968341403
"Azuklotz",3560.60491284979
"Babine",1151045.37288496
"Banks",4343.83020046791
"Bear",3359.75664531852
"Bloomfield",1116.78295403987
"Bonilla",4656.61785645578
"Borrowman",1521.38404415494
"Bowser",9820.00402700426
"Canoona",2553.82111099481
"Curtis Inlet",8837.83210010715
"Damdochax",5323.17713473936
"Devon",4342.85282953675
"Evelyn",1805.43107109603
"Fairfax",1320.96538633311
"Fred Wright",11321.1216751523
"Freeda Lakes",573.725703856643
"Hartley Bay",1389.4879003248
"Hauyat",2261.36686866472
"Johanson",1255.1595841192
"Johnston",2921.95154438491
"Kadjusdis",3546.01690831641
"Kainet",1441.72006777748
"Kdelmashan",1099.60684785754
"Keecha",3126.95387847959
"Keswar",672.321845919603
"Kimsquit",15034.3740618622
"Kisameet",1881.5383538177
"Kitkiata",3573.41231731295
"Kitlope",44884.9350346158
"Kitsumkalum",12811.776621089
"Kitwancool",105502.291170873
"Koeye",5632.47894420194
"Kooryet",4268.73509073182
"Kwakwa",4583.79736243234
"Lakelse",10283.0129448837
"Long",83413.2906300697
"Lowe",7510.65118011444
"Marian Eden",9548.52252950789
"Mary Cove",1160.00797430459
"Mathers",668.093666544144
"Mcdonell",2054.30617698249
"Mcloughlin",330.559691734074
"Mercer",4456.74113420555
"Meziadin",178228.022949003
"Mikado",2409.81054457016
"Morice",48752.2551097468
"Morrison",16601.0523710793
"Motase",2349.57428524534
"Namu",3160.34072826648
"Owikeno",515457.53720556
"Port John",630.065514510633
"Price",1981.44411852522
"Prudhomme",3944.54080251128
"Shawaltan",2418.451730396
"Sheneeza",663.2902920082
"Skidegate",13735.6074147344
"Slamgeesh",309.567309362874
"Stephens",4624.91013514806
"Sustut",3473.57954666797
"Swan",51591.7364023789
"Tankeeah",4097.40951752333
"Tuno East",1614.22808379743
"Tuno West",1774.38795043295
"Yakoun",11008.2339873833
"Yeo",1001.92059973754
