"population" "region" "water_clarity" "original_PR_mean" "lake_area_Hec" "PR_total" "original_SmaxPR" "PR_mean" "SmaxPR" "lake_area_hec" "est_origin" "count" "PR_mean_mean" "SD" "SmaxPR_SD"
"alastair" "coast.fjord" "clear" 209 686 262.4 49064 NA 49064 686 "empirical" 23 124.869043478261 66.6555720043366 15648
"asitika" "interior" "clear" 74.26 43 5.84 1093 74.26 1093 NA "PR_modeled" 23 124.869043478261 66.6555720043366 981
"atnarko" "interior" "clear" 66.21 724 87.7 16404 NA 16541 730 "empirical" 23 124.869043478261 66.6555720043366 16515
"awun" "low.coastal" "stained" 90.83 486 80.78 15106 90.83 15106 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 8861
"azuklotz" "interior" "clear" 278.26 218 111 20758 NA 20854 219 "empirical" 23 124.869043478261 66.6555720043366 4973
"babine" "interior" "clear" 140 46100 11811 2208623 NA 2208623 46100 "empirical" 23 124.869043478261 66.6555720043366 1051550
"banks" "low.coastal" "stained" 50.64 364 34 6307 NA 6308 364 "empirical" 30 63.8761333333333 53.2795113365116 6637
"bear" "interior" "clear" 158.4 1975 572.5 107057 NA 107057 1975 "empirical" 23 124.869043478261 66.6555720043366 45050
"bloomfield" "low.coastal" "stained" 12.8 147 3.5 644 NA 644 147 "empirical" 30 63.8761333333333 53.2795113365116 2680
"bonilla" "low.coastal" "stained" 115.64 220 47 8706 NA 8706 220 "empirical" 30 63.8761333333333 53.2795113365116 4011
"borrowman" "low.coastal" "stained" 56.18 22 2.26 423 56.18 423 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 401
"bowser" "interior" "glacial" 4.9 3591 32.2 6021 NA 5610 3409 "empirical" 8 39.22275 34.8594786443679 42838
"canoona" "low.coastal" "stained" 72.56 345 46 8566 NA 8566 345 "empirical" 30 63.8761333333333 53.2795113365116 6290
"curtis_inlet" "low.coastal" "stained" 103 300 57 10574 NA 10574 300 "empirical" 30 63.8761333333333 53.2795113365116 5470
"damdochax" "interior" "clear" 99 148 26.81 5014 NA 4862 148 "empirical" 23 124.869043478261 66.6555720043366 3376
"devon" "low.coastal" "stained" 103 174 32.8 6133 NA 6133 174 "empirical" 30 63.8761333333333 53.2795113365116 3173
"evelyn" "low.coastal" "stained" 63.58 59 6.9 1284 NA 1284 59 "empirical" 30 63.8761333333333 53.2795113365116 1076
"fairfax" "low.coastal" "stained" 52.7 40 3.86 721 52.7 721 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 729
"fred_wright" "interior" "clear" 152.5 397 108 20196 NA 20195 397 "empirical" 23 124.869043478261 66.6555720043366 9056
"freeda_lakes" "coast.fjord" "stained" 68.37 286 35.78 6692 68.37 6692 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 5215
"hartley_bay" "low.coastal" "stained" 51.39 93 8.75 1635 NA 1635 93 "empirical" 30 63.8761333333333 53.2795113365116 1696
"hauyat" "low.coastal" "stained" 56.89 252 26.24 4906 56.89 4906 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 4595
"johanson" "interior" "clear" 66.35 140 17 3179 NA 3179 140 "empirical" 23 124.869043478261 66.6555720043366 3193
"johnston" "coast.fjord" "clear" 211.7 186 72 13474 NA 13475 186 "empirical" 23 124.869043478261 66.6555720043366 4243
"kadjusdis" "low.coastal" "stained" 43.1 89 7.02 1313 43.215 1316 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 1623
"kainet" "coast.fjord" "clear" 107.89 60 11.85 2215 107.89 2215 NA "PR_modeled" 23 124.869043478261 66.6555720043366 1369
"kdelmashan" "low.coastal" "stained" 33.11 45 2.73 510 33.11 510 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 820
"keecha" "low.coastal" "stained" 56.85 332 34.5 6459 NA 6459 332 "empirical" 30 63.8761333333333 53.2795113365116 6053
"keswar" "low.coastal" "stained" 45.69 92 7.69 1438 45.69 1438 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 1677
"kimsquit" "coast.fjord" "clear" 121.8 167 37.22 6961 121.8 6961 NA "PR_modeled" 23 124.869043478261 66.6555720043366 3809
"kisameet" "low.coastal" "stained" 51.86 134 12.72 2378 51.86 2378 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 2443
"kitkiata" "coast.fjord" "stained" 289 270 142.8 26702 NA 26703 270 "empirical" 30 63.8761333333333 53.2795113365116 4923
"kitlope" "coast.fjord" "glacial" 54 1170 115.6 21620 NA 21621 1170 "empirical" 8 39.22275 34.8594786443679 13957
"kitsumkalum" "coast.fjord" "glacial" 33 1969 118.9 22235 NA 22236 1969 "empirical" 8 39.22275 34.8594786443679 23489
"kitwancool" "interior" "clear" 247.5 777 351.9 65810 NA 65810 777 "empirical" 23 124.869043478261 66.6555720043366 17724
"koeye" "low.coastal" "stained" 90.3 450 74.4 13905 NA 13906 450 "empirical" 30 63.8761333333333 53.2795113365116 8205
"kooryet" "low.coastal" "stained" 55.35 509 51.5 9641 NA 9641 509 "empirical" 30 63.8761333333333 53.2795113365116 9280
"kwakwa" "low.coastal" "stained" 42.8 147 11.51 2153 41.455 2085 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 2680
"lakelse" "coast.fjord" "clear" 91 1460 243.14 45466 NA 45466 1460 "empirical" 23 124.869043478261 66.6555720043366 33303
"long" "coast.fjord" "stained" 70 2100 269 50305 NA 50305 2100 "empirical" 30 63.8761333333333 53.2795113365116 38289
"lowe" "coast.fjord" "stained" 89.93 2130 350.5 65550 NA 31494 1280 "empirical" 30 63.8761333333333 53.2795113365116 38836
"marian_eden" "low.coastal" "stained" 90.4 765 126.56 23666 89.465 23421 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 13948
"mary_cove" "low.coastal" "stained" 42.05 32 2.46 460 42.05 460 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 583
"mathers" "low.coastal" "stained" 62.13 180 20.47 3827 62.13 3827 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 3282
"mcdonell" "interior" "clear" 59.84 223 24.5 4566 NA 4567 223 "empirical" 23 124.869043478261 66.6555720043366 5087
"mcloughlin" "low.coastal" "stained" 44.07 23 1.85 347 44.07 347 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 419
"mercer" "low.coastal" "stained" 63.44 114 13.23 2475 63.44 2475 NA "PR_modeled" 30 63.8761333333333 53.2795113365116 2079
