"pop","m2b","m4","perc_diff_CV","diff_CV","diff_CV_percentage","region","est_origin","water_clarity","years","sr_pairs"
"Alastair",0.11,0.11,0,0,0,"coast.fjord","empirical","clear","1978",49
"Asitika",17.39,8.28,52.39,9.11,911,"interior","PR_modeled","clear",NA,4
"Atnarko",31.85,2.54,92.03,29.31,2931,"interior","empirical","clear",NA,38
"Awun",0.11,0.11,0,0,0,"low.coastal","PR_modeled","stained",NA,44
"Azuklotz",15.77,0.31,98.03,15.46,1546,"interior","empirical","clear","2003",20
"Babine",6.12,1.7,72.22,4.42,442,"interior","empirical","clear","1994-1995",46
"Banks",0.17,0.13,23.53,0.04,4,"low.coastal","empirical","stained",NA,27
"Bear",0.14,0.23,-64.29,-0.09,-9,"interior","empirical","clear","1978, 2003",21
"Bloomfield",0.28,0.18,35.71,0.1,10,"low.coastal","empirical","stained","2006",36
"Bonilla",0.21,0.18,14.29,0.03,3,"low.coastal","empirical","stained","1979",37
"Borrowman",16.85,1.62,90.39,15.23,1523,"low.coastal","PR_modeled","stained",NA,21
"Bowser",43.44,0.22,99.49,43.22,4322,"interior","empirical","glacial","2008",17
"Canoona",0.22,0.17,22.73,0.05,5,"low.coastal","empirical","stained","2004",31
"Curtis Inlet",0.21,0.19,9.52,0.02,2,"low.coastal","empirical","stained","1979",32
"Damdochax",15.22,0.71,95.34,14.51,1451,"interior","empirical","clear","2008",22
"Devon",0.12,0.11,8.33,0.01,1,"low.coastal","empirical","stained","1979",45
"Evelyn",36.65,0.27,99.26,36.38,3638,"low.coastal","empirical","stained","2001",38
"Fairfax",16.47,0.2,98.79,16.27,1627,"low.coastal","PR_modeled","stained",NA,22
"Fred Wright",17.2,0.83,95.17,16.37,1637,"interior","empirical","clear","1978",18
"Freeda Lakes",50.06,1.89,96.22,48.17,4817,"coast.fjord","PR_modeled","stained",NA,15
"Hartley Bay",9.75,3.49,64.21,6.26,626,"low.coastal","empirical","stained","2005",28
"Hauyat",44.16,19.47,55.91,24.69,2469,"low.coastal","PR_modeled","stained",NA,25
"Johanson",25.48,3.36,86.81,22.12,2212,"interior","empirical","clear","1994",7
"Johnston",0.23,0.2,13.04,0.03,3,"coast.fjord","empirical","clear","2005",11
"Kadjusdis",21.95,0.87,96.04,21.08,2108,"low.coastal","PR_modeled","stained",NA,32
"Kainet",0.21,0.16,23.81,0.05,5,"coast.fjord","PR_modeled","clear",NA,34
